INFO:__main__:file_info_(obj_name='test', extension=None, is_directory=True, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='__pycache__', extension=None, is_directory=True, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='hw10_task1', extension='py', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='hw10_task2_decimals', extension='py', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='hw10_task2_triangle', extension='py', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='hw_10_task2_matrix', extension='py', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='new', extension='py', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='README', extension='md', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='sadsa', extension='py', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='subjects', extension='csv', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='task_5_6', extension='py', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='test', extension='py', is_directory=False, parent_directory='homework10')
INFO:__main__:file_info_(obj_name='sadsa', extension='py', is_directory=False, parent_directory='test')
INFO:__main__:file_info_(obj_name='subjects', extension='csv', is_directory=False, parent_directory='test')
INFO:__main__:file_info_(obj_name='task_5_6', extension='py', is_directory=False, parent_directory='test')
INFO:__main__:file_info_(obj_name='task_5_6.cpython-310', extension='pyc', is_directory=False, parent_directory='__pycache__')
